Name_of_model,Metric,Score
"['100CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BE93245890>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.028613449551719957, 'precisions': [0.25, 0.018315018315018316], 'brevity_penalty': 0.42285993161133506, 'length_ratio': 0.5374280230326296, 'translation_length': 280, 'reference_length': 521}, {'rouge1': 0.1292249444483139, 'rouge2': 0.04196652907394113, 'rougeL': 0.09704484502071908, 'rougeLsum': 0.11284069734872229}, 0.47659062743186953, 0.4382894217967987, 0.45537860989570617, 0.3580094307236778, 0.4595263317227364]"
"['100CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BEA0D63950>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08709446779954874, 'precisions': [0.28034682080924855, 0.0744047619047619], 'brevity_penalty': 0.6030348154718214, 'length_ratio': 0.6641074856046065, 'translation_length': 346, 'reference_length': 521}, {'rouge1': 0.1876587908569633, 'rouge2': 0.07804942248762473, 'rougeL': 0.14322570347984395, 'rougeLsum': 0.14999091428274752}, 0.72477867603302, 0.6834010720252991, 0.7012334942817688, 0.5835701212311769, 0.7178011685609818]"
"['100CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEFFE43010>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.0446426556335774, 'precisions': [0.35944700460829493, 0.09134615384615384], 'brevity_penalty': 0.24636979033820391, 'length_ratio': 0.4165067178502879, 'translation_length': 217, 'reference_length': 521}, {'rouge1': 0.1769236197341894, 'rouge2': 0.04779319041614124, 'rougeL': 0.13095667953522955, 'rougeLsum': 0.13086568334193227}, 0.6616870880126953, 0.5793581902980804, 0.6161107182502746, 0.45309034432105033, 0.6222551301121712]"
"['100CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF0041D550>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.11563390993883071, 'precisions': [0.23800738007380073, 0.056179775280898875], 'brevity_penalty': 1.0, 'length_ratio': 1.0403071017274472, 'translation_length': 542, 'reference_length': 521}, {'rouge1': 0.17908655236899504, 'rouge2': 0.07142741281427413, 'rougeL': 0.13127589341298912, 'rougeLsum': 0.14826693229506627}, 0.5731701791286469, 0.5519748151302337, 0.5606101393699646, 0.4614791095816084, 0.5665868520736694]"
"['100CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEAD455150>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.06054630119686511, 'precisions': [0.21534653465346534, 0.030379746835443037], 'brevity_penalty': 0.74855996827486, 'length_ratio': 0.7754318618042226, 'translation_length': 404, 'reference_length': 521}, {'rouge1': 0.1741619834281778, 'rouge2': 0.060537860080879316, 'rougeL': 0.11888894000736105, 'rougeLsum': 0.13765243528401422}, 0.6409890472888946, 0.5996413290500641, 0.6172512412071228, 0.4957502698814225, 0.5918162867426873]"
"['100CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CEC6939710>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08402268388631193, 'precisions': [0.2391304347826087, 0.04950495049504951], 'brevity_penalty': 0.7722444714073268, 'length_ratio': 0.7946257197696737, 'translation_length': 414, 'reference_length': 521}, {'rouge1': 0.16271788646893354, 'rouge2': 0.043504236336712736, 'rougeL': 0.11719241599593422, 'rougeLsum': 0.13532854808590103}, 0.6847817182540894, 0.6219018131494523, 0.6502969622611999, 0.3993797960118851, 0.5747388258576394]"
"['100RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CF06ECB310>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.05247938119942859, 'precisions': [0.22911694510739858, 0.019559902200488997], 'brevity_penalty': 0.7839290547029778, 'length_ratio': 0.8042226487523992, 'translation_length': 419, 'reference_length': 521}, {'rouge1': 0.1373947061078919, 'rouge2': 0.021015873015873016, 'rougeL': 0.09506965631403412, 'rougeLsum': 0.10681755365057782}, 0.7141745984554291, 0.660239976644516, 0.6841013431549072, 0.48501525874657947, 0.6550273865461349]"
"['100RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BE975D0210>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.04503986909966706, 'precisions': [0.3014705882352941, 0.04198473282442748], 'brevity_penalty': 0.4003399665511895, 'length_ratio': 0.5220729366602687, 'translation_length': 272, 'reference_length': 521}, {'rouge1': 0.17990874763565068, 'rouge2': 0.06730897350484291, 'rougeL': 0.13561010572477716, 'rougeLsum': 0.13351522206678357}, 0.7331687092781067, 0.6787015557289123, 0.7038677394390106, 0.5733768479121536, 0.6631030082702637]"
"['100RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CEFCDD92D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08453898409442774, 'precisions': [0.24161073825503357, 0.041189931350114416], 'brevity_penalty': 0.8474291022119145, 'length_ratio': 0.8579654510556622, 'translation_length': 447, 'reference_length': 521}, {'rouge1': 0.22252530707014068, 'rouge2': 0.09189666025031878, 'rougeL': 0.16119096284362552, 'rougeLsum': 0.16707402167792712}, 0.7188394486904144, 0.678298807144165, 0.6963670969009399, 0.5992815377428895, 0.681815579533577]"
"['100RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF95BB48D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.0365361766018495, 'precisions': [0.24414715719063546, 0.02413793103448276], 'brevity_penalty': 0.4759345584796064, 'length_ratio': 0.5738963531669866, 'translation_length': 299, 'reference_length': 521}, {'rouge1': 0.1607166405023548, 'rouge2': 0.047466259230965105, 'rougeL': 0.1294458398744113, 'rougeLsum': 0.1333540031397174}, 0.6439379334449769, 0.574775618314743, 0.6040349662303924, 0.4357061622150697, 0.5395510047674179]"
"['100RecursiveCharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CEC6619110>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.03395556129976466, 'precisions': [0.23708206686930092, 0.015625], 'brevity_penalty': 0.5578938173813458, 'length_ratio': 0.6314779270633397, 'translation_length': 329, 'reference_length': 521}, {'rouge1': 0.17037748666358896, 'rouge2': 0.043565026522773, 'rougeL': 0.13085544408376654, 'rougeLsum': 0.1425884477213072}, 0.6560682415962219, 0.5915744066238403, 0.6190005600452423, 0.4470018314315409, 0.600597433745861]"
"['100RecursiveCharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BEA0D221D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.023845933016063844, 'precisions': [0.205607476635514, 0.009615384615384616], 'brevity_penalty': 0.5363046194354933, 'length_ratio': 0.6161228406909789, 'translation_length': 321, 'reference_length': 521}, {'rouge1': 0.12068508246139825, 'rouge2': 0.04069264069264069, 'rougeL': 0.09780315917312819, 'rougeLsum': 0.10636829501767582}, 0.6352355062961579, 0.5789624512195587, 0.6034910142421722, 0.38394498541743893, 0.5437417391687631]"
"['500CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CEFE840450>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.04324397003233175, 'precisions': [0.24124513618677043, 0.06048387096774194], 'brevity_penalty': 0.35799460802211425, 'length_ratio': 0.4932821497120921, 'translation_length': 257, 'reference_length': 521}, {'rouge1': 0.11183125171372366, 'rouge2': 0.0288, 'rougeL': 0.08357921312141062, 'rougeLsum': 0.0881022547080201}, 0.6216354846954346, 0.5660125732421875, 0.590535682439804, 0.46610536533413827, 0.5068526536226272]"
"['500CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BE975E6610>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.06579155987064114, 'precisions': [0.3382352941176471, 0.07984790874524715], 'brevity_penalty': 0.4003399665511895, 'length_ratio': 0.5220729366602687, 'translation_length': 272, 'reference_length': 521}, {'rouge1': 0.1487793054403224, 'rouge2': 0.04444557339294182, 'rougeL': 0.10651731312035798, 'rougeLsum': 0.11615870076821486}, 0.657934844493866, 0.5974910020828247, 0.6249759078025818, 0.47876473133399877, 0.632062079012394]"
"['500CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BE97608390>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.06099846569141574, 'precisions': [0.3232758620689655, 0.13901345291479822], 'brevity_penalty': 0.28774239665422974, 'length_ratio': 0.44529750479846447, 'translation_length': 232, 'reference_length': 521}, {'rouge1': 0.23406324126275518, 'rouge2': 0.14108013120274782, 'rougeL': 0.19497780056026853, 'rougeLsum': 0.20176351484598282}, 0.6597005784511566, 0.5991780936717988, 0.6244018375873566, 0.5025103530434584, 0.571633830666542]"
"['500CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF02436050>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.019530152627078124, 'precisions': [0.199203187250996, 0.01646090534979424], 'brevity_penalty': 0.3410598816324158, 'length_ratio': 0.4817658349328215, 'translation_length': 251, 'reference_length': 521}, {'rouge1': 0.12296802312942917, 'rouge2': 0.04628378378378378, 'rougeL': 0.10588172081763035, 'rougeLsum': 0.11315469693537353}, 0.5674705028533935, 0.5186943173408508, 0.5400688767433166, 0.3549653136984235, 0.47908013463020327]"
"['500CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CF06DAFB90>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.04985613874657808, 'precisions': [0.5449101796407185, 0.31645569620253167], 'brevity_penalty': 0.12006038204551771, 'length_ratio': 0.32053742802303264, 'translation_length': 167, 'reference_length': 521}, {'rouge1': 0.19253620535912164, 'rouge2': 0.08475772765246448, 'rougeL': 0.15647746841182653, 'rougeLsum': 0.15766502708494579}, 0.6700061202049256, 0.5824002325534821, 0.621489816904068, 0.3812291135539162, 0.5680237352848053]"
"['500CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CED5B68250>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.1484126562652621, 'precisions': [0.3880597014925373, 0.1723076923076923], 'brevity_penalty': 0.5739437519417708, 'length_ratio': 0.6429942418426103, 'translation_length': 335, 'reference_length': 521}, {'rouge1': 0.2260119645591508, 'rouge2': 0.12279629366585885, 'rougeL': 0.17582011547332516, 'rougeLsum': 0.17489692600445636}, 0.7133813083171845, 0.6446488589048386, 0.6752052009105682, 0.4721935438387185, 0.5576309043914079]"
"['500RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CF02A07BD0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.031089171651558323, 'precisions': [0.21993127147766323, 0.021352313167259787], 'brevity_penalty': 0.45367327125120455, 'length_ratio': 0.5585412667946257, 'translation_length': 291, 'reference_length': 521}, {'rouge1': 0.11163130123403187, 'rouge2': 0.02048832271762208, 'rougeL': 0.09437724230012992, 'rougeLsum': 0.09991862716122654}, 0.7034148931503296, 0.6480495214462281, 0.673551207780838, 0.41047303127741686, 0.6219546914100647]"
"['500RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF06FC9950>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.035385554490190055, 'precisions': [0.2697095435684647, 0.04741379310344827], 'brevity_penalty': 0.3129143631174574, 'length_ratio': 0.46257197696737046, 'translation_length': 241, 'reference_length': 521}, {'rouge1': 0.08992011135992253, 'rouge2': 0.011280487804878048, 'rougeL': 0.07038619750896072, 'rougeLsum': 0.07270988876056689}, 0.6229804158210754, 0.5538168311119079, 0.5851537227630615, 0.3048931046810105, 0.49497236013412477]"
"['500RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEFFEF5210>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.045655215353827126, 'precisions': [0.29777777777777775, 0.09722222222222222], 'brevity_penalty': 0.2683252122609884, 'length_ratio': 0.43186180422264875, 'translation_length': 225, 'reference_length': 521}, {'rouge1': 0.15762235228539578, 'rouge2': 0.045123053392658506, 'rougeL': 0.1335272668153103, 'rougeLsum': 0.1410293385358603}, 0.6402805864810943, 0.5822716116905212, 0.6088147759437561, 0.3837344073293733, 0.5401015251874923]"
"['500RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CFA7126710>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.0686116061704286, 'precisions': [0.34035087719298246, 0.07246376811594203], 'brevity_penalty': 0.43689159743919004, 'length_ratio': 0.5470249520153551, 'translation_length': 285, 'reference_length': 521}, {'rouge1': 0.24729382749031642, 'rouge2': 0.10665664160401003, 'rougeL': 0.19645138673476537, 'rougeLsum': 0.2110228672144377}, 0.685923719406128, 0.6236483216285705, 0.65022953748703, 0.4636797403941415, 0.618794159591198]"
"['500RecursiveCharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002D0B6B5B950>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.04052661396164483, 'precisions': [0.31645569620253167, 0.05701754385964912], 'brevity_penalty': 0.30170298579793636, 'length_ratio': 0.45489443378119004, 'translation_length': 237, 'reference_length': 521}, {'rouge1': 0.18908829915887165, 'rouge2': 0.05880900876079275, 'rougeL': 0.13630038366580505, 'rougeLsum': 0.1473460777609063}, 0.6522870540618897, 0.5942495405673981, 0.6207062423229217, 0.43095396315681506, 0.6130773320794105]"
"['500RecursiveCharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF062C68D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.014906532703789535, 'precisions': [0.3382352941176471, 0.1889763779527559], 'brevity_penalty': 0.05896080646982196, 'length_ratio': 0.26103646833013433, 'translation_length': 136, 'reference_length': 521}, {'rouge1': 0.16059883757325358, 'rouge2': 0.11428105001958994, 'rougeL': 0.12846055501784087, 'rougeLsum': 0.12940478598153793}, 0.6439534962177277, 0.5487105965614318, 0.5897477030754089, 0.35183453857280533, 0.4484679467976093]"
"['1000CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CFA9A669D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.1276962066569162, 'precisions': [0.3133514986376022, 0.12044817927170869], 'brevity_penalty': 0.6572975121914185, 'length_ratio': 0.7044145873320538, 'translation_length': 367, 'reference_length': 521}, {'rouge1': 0.21515939436856923, 'rouge2': 0.10672687465790913, 'rougeL': 0.16873258866131474, 'rougeLsum': 0.1746682056477978}, 0.7232610702514648, 0.6817276239395141, 0.7006102919578552, 0.47599170669813934, 0.6921354174613953]"
"['1000CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF95BB7B10>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.05885313328303236, 'precisions': [0.4008810572687225, 0.1152073732718894], 'brevity_penalty': 0.2738556366387232, 'length_ratio': 0.43570057581573896, 'translation_length': 227, 'reference_length': 521}, {'rouge1': 0.21129498217894943, 'rouge2': 0.0904166758752071, 'rougeL': 0.16807879168848752, 'rougeLsum': 0.17398333599341134}, 0.7478504538536072, 0.6794199168682098, 0.7104813992977143, 0.4917095372411011, 0.6918492317199707]"
"['1000CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEFFE26510>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.03652587280893841, 'precisions': [0.27848101265822783, 0.05263157894736842], 'brevity_penalty': 0.30170298579793636, 'length_ratio': 0.45489443378119004, 'translation_length': 237, 'reference_length': 521}, {'rouge1': 0.173169283984331, 'rouge2': 0.07244695149467624, 'rougeL': 0.14387558946336376, 'rougeLsum': 0.153497850982177}, 0.643192994594574, 0.593831193447113, 0.6159256100654602, 0.5115047079033358, 0.6264781057834625]"
"['1000CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CEC6924BD0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.03958162127026886, 'precisions': [0.3697916666666667, 0.13043478260869565], 'brevity_penalty': 0.18022635926655048, 'length_ratio': 0.3685220729366603, 'translation_length': 192, 'reference_length': 521}, {'rouge1': 0.1895036032572551, 'rouge2': 0.09589453186101708, 'rougeL': 0.1747612120106556, 'rougeLsum': 0.1806908325066061}, 0.576079398393631, 0.5249573528766632, 0.5479711651802063, 0.3826370406157162, 0.5515435442328454]"
"['1000CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CFAE48D050>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.003444317725695294, 'precisions': [0.37623762376237624, 0.12903225806451613], 'brevity_penalty': 0.01563230235859304, 'length_ratio': 0.19385796545105566, 'translation_length': 101, 'reference_length': 521}, {'rouge1': 0.14612174964724853, 'rouge2': 0.06638655462184875, 'rougeL': 0.1236449864498645, 'rougeLsum': 0.1295121951219512}, 0.5606697380542756, 0.4998133540153503, 0.5278156995773315, 0.28870361136325967, 0.46280372738838194]"
"['1000CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BE93217810>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.01805893363805183, 'precisions': [0.2613065326633166, 0.031746031746031744], 'brevity_penalty': 0.19827695713290233, 'length_ratio': 0.381957773512476, 'translation_length': 199, 'reference_length': 521}, {'rouge1': 0.12126544294713944, 'rouge2': 0.043409085019823275, 'rougeL': 0.09418443707304361, 'rougeLsum': 0.10347674853398983}, 0.6980910897254944, 0.6126928329467773, 0.6508506000041961, 0.44941208073278327, 0.5777343779802322]"
"['1000RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CF00888710>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.06418425131925866, 'precisions': [0.30666666666666664, 0.05862068965517241], 'brevity_penalty': 0.47870694881990544, 'length_ratio': 0.5758157389635317, 'translation_length': 300, 'reference_length': 521}, {'rouge1': 0.18441092479915175, 'rouge2': 0.04905851412989635, 'rougeL': 0.1481863801085769, 'rougeLsum': 0.15190875740074822}, 0.703095120191574, 0.6583566248416901, 0.679036432504654, 0.5395817227504448, 0.6845518887043]"
"['1000RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF00609510>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.03085168901367267, 'precisions': [0.24050632911392406, 0.043478260869565216], 'brevity_penalty': 0.30170298579793636, 'length_ratio': 0.45489443378119004, 'translation_length': 237, 'reference_length': 521}, {'rouge1': 0.09887605970785274, 'rouge2': 0.019141868426810142, 'rougeL': 0.07019441502280466, 'rougeLsum': 0.0760189742654878}, 0.4911506950855255, 0.43937628269195556, 0.46214671730995177, 0.2707940097633132, 0.4412922240793705]"
